Facies,Formation,Well Name,Depth,RHOB,DT,CGR,NPHI,PEF,MSFL,LLD
4,Dato_formacion,,4051.9428,2.693774,50.339452,24.625287,0.043471,4.199022,77.066145,46.450681
4,Dato_formacion,,4052.0952,2.694964,50.138278,26.998315,0.043121,4.195123,67.826172,40.867801
4,Dato_formacion,,4052.2476,2.689061,50.067461,27.486871,0.044764,4.238294,66.433446,39.955902
4,Dato_formacion,,4052.4,2.678358,50.043293,27.082586,0.051366,4.217893,67.752134,40.757722
4,Dato_formacion,,4052.5524,2.666013,50.021126,26.855513,0.058955,4.193787,67.791587,41.017728
4,Dato_formacion,,4052.7048,2.656052,50.313438,26.854384,0.060398,4.300084,67.809842,41.020943
4,Dato_formacion,,4052.8572,2.650646,50.23105,20.916395,0.061896,4.329228,96.647109,58.637553
4,Dato_formacion,,4053.0096,2.650646,50.23105,20.916395,0.061896,4.329228,96.647109,58.637553
4,Dato_formacion,,4053.162,2.648304,50.422805,21.211495,0.058356,4.459785,96.110865,57.864198
4,Dato_formacion,,4053.3144,2.64086,50.965674,21.599495,0.050849,4.770639,93.599256,56.336824
4,Dato_formacion,,4053.4668,2.64086,50.965674,21.599495,0.050849,4.770639,93.599256,56.336824
4,Dato_formacion,,4053.6192,2.638452,51.064395,21.599495,0.050849,4.806369,93.599256,56.336824
4,Dato_formacion,,4053.7716,2.64225,50.900177,21.599495,0.051254,4.739053,93.493783,56.304358
4,Dato_formacion,,4053.924,2.651971,50.560711,21.599495,0.049322,4.647114,93.49764,56.303852
4,Dato_formacion,,4054.0764,2.666364,49.936477,21.599495,0.050832,4.396426,92.926029,56.128131
4,Dato_formacion,,4054.2288,2.66313,49.922692,19.955246,0.054052,4.35439,103.722235,62.907321
4,Dato_formacion,,4054.3812,2.661689,49.872707,19.398142,0.057024,4.29524,107.520663,65.445706
3,Dato_formacion,,4054.5336,2.658993,49.955306,17.033686,0.064536,4.13292,133.797523,80.936645
3,Dato_formacion,,4054.686,2.659182,50.246202,17.033686,0.064536,4.130184,127.450207,79.245935
4,Dato_formacion,,4054.8384,2.667414,50.638539,15.48573,0.058502,4.165362,101.742445,76.528197
4,Dato_formacion,,4054.9908,2.672732,50.868505,13.763853,0.057978,4.098884,105.567029,86.089673
4,Dato_formacion,,4055.1432,2.669395,50.964323,12.870093,0.06166,4.048628,117.656728,97.855388
4,Dato_formacion,,4055.2956,2.662308,51.098677,11.002384,0.064243,4.080158,115.555637,109.705934
3,Dato_formacion,,4055.448,2.66367,51.212733,7.961569,0.062879,4.093236,100.177726,124.512128
4,Dato_formacion,,4055.6004,2.665747,51.248609,6.000273,0.061494,4.09665,94.244434,137.885945
4,Dato_formacion,,4055.7528,2.670391,51.090769,6.000019,0.058832,4.100218,98.750599,142.683493
4,Dato_formacion,,4055.9052,2.663037,50.867147,6.000003,0.057009,4.254476,128.309268,174.885619
3,Dato_formacion,,4056.0576,2.658215,50.822741,6,0.06132,4.210714,189.278005,266.1025
3,Dato_formacion,,4056.21,2.656247,51.020303,6.000002,0.064682,4.149896,181.982573,264.635735
5,Dato_formacion,,4056.3624,2.665118,51.149202,6.000002,0.071386,3.843802,120.277937,196.012171
5,Dato_formacion,,4056.5148,2.669255,50.957678,6.000002,0.071386,3.784551,120.277937,196.012171
5,Dato_formacion,,4056.6672,2.674226,50.836596,6.000003,0.068536,3.789602,169.290899,273.964694
5,Dato_formacion,,4056.8196,2.697851,49.7511,6.000003,0.068536,3.455339,368.125541,596.905668
6,Dato_formacion,,4056.972,2.705378,49.633742,6.000003,0.062505,3.502945,93.526473,136.81774
6,Dato_formacion,,4057.1244,2.713195,49.666372,6.035552,0.058175,3.508433,100.876901,151.593528
6,Dato_formacion,,4057.2768,2.713813,49.244834,6.625268,0.05699,3.533256,107.260756,146.388597
6,Dato_formacion,,4057.4292,2.710931,49.174129,9.48717,0.058851,3.528803,103.540234,110.518944
6,Dato_formacion,,4057.5816,2.704057,49.069603,13.025104,0.066686,3.425082,92.743772,83.016496
5,Dato_formacion,,4057.734,2.693192,49.079899,14.041604,0.072067,3.438789,99.014461,82.235585
5,Dato_formacion,,4057.8864,2.686123,49.357884,14.041604,0.074207,3.482079,99.649226,82.87727
5,Dato_formacion,,4058.0388,2.677595,49.364771,12.255729,0.079658,3.455519,99.940714,92.333479
5,Dato_formacion,,4058.1912,2.671423,49.420772,11.595661,0.082239,3.473749,94.314482,92.823275
5,Dato_formacion,,4058.3436,2.66843,49.541293,11.595661,0.082945,3.497521,94.016596,92.934174
5,Dato_formacion,,4058.496,2.667078,49.580653,6.06001,0.082314,3.524673,115.516264,170.471999
5,Dato_formacion,,4058.6484,2.666438,49.879234,6.74438,0.082595,3.52794,149.960311,206.779877
5,Dato_formacion,,4058.8008,2.657451,50.11095,6.794868,0.085608,3.577198,214.213838,283.038448
5,Dato_formacion,,4058.9532,2.654737,50.156495,7.037397,0.081931,3.715304,259.069755,316.163558
5,Dato_formacion,,4059.1056,2.658758,49.960328,7.124005,0.082315,3.647463,239.241371,291.903648
5,Dato_formacion,,4059.258,2.680213,49.467332,6.1334,0.070297,3.656385,183.350246,239.406818
5,Dato_formacion,,4059.4104,2.690495,49.00427,6.841825,0.069338,3.536059,136.028093,171.805727
5,Dato_formacion,,4059.5628,2.678223,48.861642,7.453832,0.070853,3.67074,104.962089,124.193907
5,Dato_formacion,,4059.7152,2.655909,49.197832,12.086053,0.079337,3.768731,101.205696,87.831614
5,Dato_formacion,,4059.8676,2.650157,49.450221,12.08604,0.079337,3.851537,101.094645,87.925516
3,Dato_formacion,,4060.02,2.636541,50.052428,8.926841,0.085038,3.896662,277.036932,205.883819
5,Dato_formacion,,4060.1724,2.644885,49.570774,8.93431,0.085087,3.77459,411.540795,281.632752
5,Dato_formacion,,4060.3248,2.657567,49.544722,6.000001,0.078548,3.760957,307.118254,422.13803
5,Dato_formacion,,4060.4772,2.674784,49.723168,6.000002,0.075244,3.603076,334.052331,492.057148
5,Dato_formacion,,4060.6296,2.6748,49.723076,6,0.075235,3.603088,352.181397,533.919479
5,Dato_formacion,,4060.782,2.692493,49.240846,6,0.073605,3.396628,339.170195,524.817448
5,Dato_formacion,,4060.9344,2.689866,48.881278,6,0.075031,3.395466,285.665025,415.067988
5,Dato_formacion,,4061.0868,2.686714,48.703569,6,0.076693,3.395638,227.300962,320.579798
5,Dato_formacion,,4061.2392,2.676078,48.642638,6.000005,0.075658,3.57525,222.367638,303.849739
5,Dato_formacion,,4061.3916,2.674385,48.872166,6.000001,0.074432,3.631475,193.685987,270.895818
5,Dato_formacion,,4061.544,2.672172,49.279957,6.017149,0.075657,3.630108,157.095854,226.378544
5,Dato_formacion,,4061.6964,2.687407,49.331104,6.000008,0.067085,3.63973,150.293747,214.650834
6,Dato_formacion,,4061.8488,2.68943,49.443888,6.000002,0.060096,3.795153,192.688457,266.61551
6,Dato_formacion,,4062.0012,2.695681,49.533619,6,0.060247,3.702423,238.40425,343.123658
5,Dato_formacion,,4062.1536,2.689895,49.667574,6.000001,0.064363,3.676484,255.31653,377.975074
5,Dato_formacion,,4062.306,2.687876,49.690249,6,0.067768,3.615999,301.909182,460.384165
5,Dato_formacion,,4062.4584,2.683002,49.595511,6.000003,0.069644,3.636164,508.984998,796.10779
5,Dato_formacion,,4062.6108,2.691336,49.473918,6.000006,0.06367,3.67456,777.121056,1151.157949
